,Date,Open,High,Low,Close*,Adj Close**,Volume,MA10,MA20,Profit/ Loss
370,5-Nov-21,"36,268.75","36,484.75","36,190.20",36327.95,"36,327.95","344,600,000",30966.851,30591.5035,Loss
1125,6-Nov-18,"25,452.83","25,651.86","25,444.90",25635.01,"25,635.01","265,450,000",29914.594,30223.748,Loss
874,6-Nov-19,"27,502.74","27,526.05","27,407.81",27492.56,"27,492.56","237,910,000",29463.725,30329.339,Loss
621,6-Nov-20,"28,399.13","28,431.96","28,189.50",28323.4,"28,323.40","326,710,000",29549.854,30378.141,Loss
1124,7-Nov-18,"25,788.46","26,200.14","25,765.88",26180.3,"26,180.30","361,780,000",29383.118,29891.464,Loss
873,7-Nov-19,"27,590.16","27,774.67","27,590.16",27674.8,"27,674.80","259,020,000",28538.175,29642.544,Loss
118,7-Nov-22,"32,454.10","32,895.59","32,424.99",32827,"32,827.00","336,300,000",28580.553,30020.3525,Profit
1123,8-Nov-18,"26,139.59","26,277.82","26,081.90",26191.22,"26,191.22","295,650,000",28653.505,29983.661,Profit
872,8-Nov-19,"27,686.20","27,694.95","27,578.97",27681.24,"27,681.24","221,440,000",28672.366,29565.0915,Profit
369,8-Nov-21,"36,416.46","36,565.73","36,334.42",36432.22,"36,432.22","284,400,000",29476.57,29779.3145,Profit
117,8-Nov-22,"32,934.56","33,355.39","32,831.46",33160.83,"33,160.83","335,340,000",29159.858,30063.3545,Profit
1122,9-Nov-18,"26,149.11","26,161.49","25,882.91",25989.3,"25,989.30","324,450,000",29195.287,29554.9405,Profit
620,9-Nov-20,"29,467.90","29,933.83","29,130.66",29157.97,"29,157.97","673,310,000",29361.828,29412.7765,Profit
368,9-Nov-21,"36,404.53","36,416.98","36,173.07",36319.98,"36,319.98","258,020,000",30161.486,29855.67,Profit
116,9-Nov-22,"33,004.47","33,065.11","32,478.87",32513.94,"32,513.94","355,200,000",30794.85,30088.984,Profit
619,10-Nov-20,"29,254.17","29,478.86","29,126.99",29420.92,"29,420.92","526,980,000",30969.462,29753.8185,Profit
367,10-Nov-21,"36,299.25","36,346.61","36,009.50",36079.94,"36,079.94","278,390,000",31294.756,29937.6545,Profit
115,10-Nov-22,"33,263.91","33,727.73","33,167.82",33715.37,"33,715.37","480,130,000",32047.171,30350.338,Profit
871,11-Nov-19,"27,580.66","27,714.39","27,517.67",27691.49,"27,691.49","202,350,000",32048.196,30360.281,Loss
618,11-Nov-20,"29,524.35","29,593.11","29,281.22",29397.63,"29,397.63","376,700,000",31344.737,30410.6535,Profit
366,11-Nov-21,"36,038.78","36,108.17","35,915.27",35921.23,"35,921.23","270,320,000",31620.777,30390.3175,Loss
114,11-Nov-22,"33,797.75","33,817.96","33,394.43",33747.86,"33,747.86","427,790,000",32396.633,30795.96,Profit
1121,12-Nov-18,"25,959.33","25,966.71","25,340.51",25387.18,"25,387.18","346,910,000",32019.554,30690.691,Loss
870,12-Nov-19,"27,701.59","27,770.86","27,635.32",27691.49,"27,691.49","213,670,000",31156.705,30659.0955,Profit
617,12-Nov-20,"29,231.91","29,311.83","28,902.13",29080.17,"29,080.17","369,320,000",30813.328,30804.089,Loss
365,12-Nov-21,"35,963.78","36,147.63","35,934.59",36100.31,"36,100.31","293,180,000",31481.267,31225.3645,Profit
1120,13-Nov-18,"25,321.21","25,511.03","25,193.78",25286.49,"25,286.49","339,690,000",30401.922,30848.339,Loss
869,13-Nov-19,"27,622.04","27,806.40","27,587.20",27783.59,"27,783.59","278,390,000",29808.744,30927.9575,Profit
616,13-Nov-20,"29,203.90","29,559.25","29,203.90",29479.81,"29,479.81","348,810,000",29987.576,31017.886,Profit
1119,14-Nov-18,"25,388.08","25,501.29","24,935.82",25080.5,"25,080.50","384,240,000",29555.863,30450.3,Profit
868,14-Nov-19,"27,757.20","27,800.71","27,676.97",27781.96,"27,781.96","303,970,000",28741.936,30181.3565,Loss
113,14-Nov-22,"33,662.05","33,964.30","33,533.96",33536.7,"33,536.70","354,340,000",28720.82,30558.7265,Loss
1118,15-Nov-18,"25,061.48","25,354.56","24,787.79",25289.27,"25,289.27","392,750,000",28711.029,30365.2915,Loss
867,15-Nov-19,"27,843.54","28,004.89","27,843.54",28004.89,"28,004.89","283,720,000",28742.369,29949.537,Profit
364,15-Nov-21,"36,128.83","36,236.07","36,031.78",36087.45,"36,087.45","280,660,000",29443.097,30128.2125,Profit
112,15-Nov-22,"33,755.94","33,987.06","33,320.20",33592.92,"33,592.92","390,610,000",29192.358,30336.8125,Profit
1117,16-Nov-18,"25,242.35","25,510.23","25,147.80",25413.22,"25,413.22","354,460,000",29205.031,29803.4765,Loss
615,16-Nov-20,"29,672.36","29,964.29","29,672.36",29950.44,"29,950.44","418,290,000",29421.716,29615.23,Loss
363,16-Nov-21,"36,076.18","36,316.61","36,076.18",36142.22,"36,142.22","308,290,000",30087.957,30037.7665,Loss
111,16-Nov-22,"33,554.93","33,682.83","33,516.99",33553.83,"33,553.83","301,560,000",30935.29,30245.5765,Profit
614,17-Nov-20,"29,800.15","29,872.42","29,520.29",29783.35,"29,783.35","372,380,000",31135.429,29938.6825,Profit
362,17-Nov-21,"36,159.70","36,159.70","35,909.48",35931.05,"35,931.05","358,310,000",31374.864,30047.842,Profit
110,17-Nov-22,"33,329.27","33,616.02","33,239.75",33546.32,"33,546.32","319,210,000",32200.569,30455.799,Loss
866,18-Nov-19,"27,993.22","28,040.97","27,969.24",28036.22,"28,036.22","252,320,000",32203.702,30473.0355,Loss
613,18-Nov-20,"29,875.40","29,930.85","29,432.84",29438.42,"29,438.42","382,850,000",31538.799,30490.948,Loss
361,18-Nov-21,"35,901.69","35,952.63","35,654.39",35870.95,"35,870.95","435,080,000",31766.602,30479.48,Profit
109,18-Nov-22,"33,606.59","33,827.94","33,540.64",33745.69,"33,745.69","312,950,000",32599.849,30902.44,Profit
1116,19-Nov-18,"25,392.61","25,392.61","24,900.98",25017.44,"25,017.44","358,090,000",32106.549,30764.1325,Profit
865,19-Nov-19,"28,079.76","28,090.21","27,894.52",27934.02,"27,934.02","245,890,000",31285.729,30686.843,Loss
612,19-Nov-20,"29,370.92","29,524.90","29,228.38",29483.23,"29,483.23","331,330,000",30878.669,30906.9795,Loss
360,19-Nov-21,"35,879.09","35,879.09","35,555.37",35601.98,"35,601.98","408,840,000",31460.532,31297.9805,Loss
1115,20-Nov-18,"24,618.68","24,707.26","24,368.98",24465.64,"24,465.64","445,920,000",30313.991,30844.4275,Profit
864,20-Nov-19,"27,879.55","27,897.28","27,675.28",27821.09,"27,821.09","258,140,000",29741.468,30971.0185,Profit
611,20-Nov-20,"29,437.57","29,469.89","29,231.20",29263.48,"29,263.48","305,350,000",29864.194,31033.948,Profit
1114,21-Nov-18,"24,541.65","24,669.79","24,463.28",24464.69,"24,464.69","289,370,000",29366.821,30452.81,Loss
863,21-Nov-19,"27,820.28","27,828.33","27,708.34",27766.29,"27,766.29","232,020,000",28556.355,30161.4785,Loss
108,21-Nov-22,"33,760.30","33,864.59","33,559.18",33700.28,"33,700.28","352,960,000",28551.814,30575.8315,Loss
862,22-Nov-19,"27,831.23","27,898.46","27,773.98",27875.62,"27,875.62","214,780,000",28837.632,30472.0905,Profit
359,22-Nov-21,"35,631.41","35,929.66","35,615.55",35619.25,"35,619.25","420,810,000",29606.155,30445.942,Profit
107,22-Nov-22,"33,810.05","34,115.70","33,810.05",34098.1,"34,098.10","277,070,000",30067.642,30473.1555,Profit
1113,23-Nov-18,"24,336.40","24,408.80","24,268.74",24285.95,"24,285.95","155,940,000",28936.039,30198.2855,Profit
610,23-Nov-20,"29,332.82","29,667.75","29,332.82",29591.27,"29,591.27","387,200,000",29448.602,29881.2965,Profit
358,23-Nov-21,"35,619.92","35,841.52","35,542.87",35813.8,"35,813.80","392,520,000",30247.873,29994.6705,Profit
106,23-Nov-22,"34,091.57","34,262.07","34,004.64",34194.06,"34,194.06","236,820,000",30740.931,30302.5625,Profit
609,24-Nov-20,"29,746.11","30,116.51","29,746.11",30046.24,"30,046.24","432,760,000",31299.086,30332.9535,Profit
357,24-Nov-21,"35,752.31","35,825.47","35,591.03",35804.38,"35,804.38","280,960,000",32102.895,30329.625,Profit
861,25-Nov-19,"27,917.77","28,068.69","27,917.77",28066.47,"28,066.47","248,420,000",31539.514,30045.664,Loss
608,25-Nov-20,"30,058.87","30,058.87","29,806.25",29872.47,"29,872.47","323,030,000",31739.199,30288.4155,Loss
105,25-Nov-22,"34,213.04","34,386.51","34,199.57",34347.03,"34,347.03","131,660,000",31611.977,30609.066,Loss
1112,26-Nov-18,"24,364.13","24,673.29","24,364.13",24640.24,"24,640.24","306,280,000",30666.191,30366.9165,Loss
860,26-Nov-19,"28,080.75","28,146.02","28,042.21",28121.68,"28,121.68","324,050,000",31049.764,29992.9015,Loss
356,26-Nov-21,"35,366.69","35,366.69","34,749.80",34899.34,"34,899.34","324,580,000",31580.571,30514.5865,Loss
1111,27-Nov-18,"24,557.02","24,750.73","24,416.03",24748.73,"24,748.73","308,250,000",30474.064,30360.9685,Loss
859,27-Nov-19,"28,156.47","28,174.97","28,075.23",28164,"28,164.00","198,210,000",29871.058,30305.9945,Loss
607,27-Nov-20,"29,911.33","30,015.13","29,819.98",29910.37,"29,910.37","177,040,000",29857.471,30578.2785,Profit
1110,28-Nov-18,"24,832.84","25,368.93","24,832.84",25366.43,"25,366.43","362,160,000",28813.676,30458.2855,Loss
104,28-Nov-22,"34,275.91","34,303.88","33,799.35",33849.46,"33,849.46","300,330,000",29391.975,30465.7445,Profit
1109,29-Nov-18,"25,343.65","25,479.04","25,202.79",25338.84,"25,338.84","305,110,000",28938.612,30338.9055,Loss
858,29-Nov-19,"28,103.16","28,119.51","28,042.53",28051.41,"28,051.41","120,630,000",28309.05,29960.5135,Profit
355,29-Nov-21,"35,017.71","35,287.91","34,895.89",35135.94,"35,135.94","416,040,000",29358.62,30012.4055,Loss
103,29-Nov-22,"33,847.80","33,933.91","33,662.45",33852.53,"33,852.53","279,750,000",29931.705,30490.7345,Profit
1108,30-Nov-18,"25,307.14","25,549.71","25,250.97",25538.46,"25,538.46","482,250,000",28995.617,30288.094,Loss
606,30-Nov-20,"29,854.51","29,854.51","29,463.64",29638.64,"29,638.64","551,350,000",29484.608,29979.336,Profit
354,30-Nov-21,"35,056.99","35,056.99","34,424.44",34483.72,"34,483.72","678,800,000",30116.58,29993.819,Loss
102,30-Nov-22,"33,795.43","34,589.77","33,583.77",34589.77,"34,589.77","524,440,000",30584.52,30220.9955,Profit
1151,1-Oct-18,"26,598.36","26,737.98","26,596.05",26651.21,"26,651.21","238,320,000",30712.998,29763.337,Loss
900,1-Oct-19,"26,962.54","27,046.21","26,562.22",26573.04,"26,573.04","260,110,000",29985.356,29688.6655,Profit
647,1-Oct-20,"27,940.63","28,041.46","27,669.26",27816.9,"27,816.90","373,450,000",30233.162,29585.887,Profit
395,1-Oct-21,"33,930.70","34,490.56","33,785.54",34326.46,"34,326.46","427,580,000",30860.667,29584.8585,Profit
1150,2-Oct-18,"26,648.91","26,824.78","26,627.66",26773.94,"26,773.94","258,290,000",30024.467,29691.5435,Profit
